Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:1544	10	1	10	10	1	1	1	-0.4	0
chr1:1544	10	1	10	10	1	1	1	-0.4	0
chr1:14122	10	1	10	10	1	1	1	-0.4	0
chr1:14122	10	1	10	10	1	1	1	-0.4	0
chr1:14794	10	1	10	10	1	1	1	-0.4	0
chr1:15522	10	1	10	10	1	1	1	-0.4	0
chr1:15522	10	1	10	10	1	1	1	-0.4	0
chr1:15522	10	1	10	10	1	1	1	-0.4	0
chr1:19266	10	1	10	10	1	1	1	-0.4	0
chr1:20959	10	1	10	10	1	1	1	-0.4	0
chr1:20959	10	1	10	10	1	1	1	-0.4	0
chr1:37956	10	1	10	10	1	1	1	-0.4	0
chr1:37956	10	1	10	10	1	1	1	-0.4	0
chr1:37956	10	1	10	10	1	1	1	-0.4	0
chr1:51851	10	1	10	10	1	1	1	-0.4	0
chr1:51851	10	1	10	10	1	1	1	-0.4	0
chr1:51851	10	1	10	10	1	1	1	-0.4	0
chr1:55616	10	1	10	10	1	1	1	-0.4	0
chr1:55616	10	1	10	10	1	1	1	-0.4	0
chr1:55616	10	1	10	10	1	1	1	-0.4	0
chr1:56523	10	1	10	10	1	1	1	-0.4	0
chr1:57064	10	1	10	10	1	1	1	-0.4	0
chr1:57064	10	1	10	10	1	1	1	-0.4	0
chr1:57064	10	1	10	10	1	1	1	-0.4	0
chr1:58390	10	1	10	10	1	1	1	-0.4	0
chr1:58390	10	1	10	10	1	1	1	-0.4	0
chr1:60485	10	1	10	10	1	1	1	-0.4	0
chr1:60485	10	1	10	10	1	1	1	-0.4	0
chr1:60485	10	1	10	10	1	1	1	-0.4	0
chr1:67751	10	1	10	10	1	1	1	-0.4	0
chr1:68441	10	1	10	10	1	1	1	-0.4	0
chr1:68441	10	1	10	10	1	1	1	-0.4	0
chr1:68441	10	1	10	10	1	1	1	-0.4	0
chr1:75259	10	1	10	10	1	1	1	-0.4	0
chr1:75259	10	1	10	10	1	1	1	-0.4	0
chr1:75259	10	1	10	10	1	1	1	-0.4	0
chr1:86735	10	1	10	10	1	1	1	-0.4	0
chr1:86735	10	1	10	10	1	1	1	-0.4	0
chr1:88654	10	1	10	10	1	1	1	-0.4	0
chr1:88654	10	1	10	10	1	1	1	-0.4	0
chr1:99784	10	1	10	10	1	1	1	-0.4	0
chr1:99784	10	1	10	10	1	1	1	-0.4	0
chr1:99784	10	1	10	10	1	1	1	-0.4	0
chr1:102792	10	1	10	10	1	1	1	-0.4	0
chr1:102792	10	1	10	10	1	1	1	-0.4	0
chr1:102792	10	1	10	10	1	1	1	-0.4	0
chr1:107868	10	1	10	10	1	1	1	-0.4	0
