Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise
chr1:11328	10	1	10	10	1	1	1	-0.4	0
chr1:11328	10	1	10	10	1	1	1	-0.4	0
chr1:13674	10	1	10	10	1	1	1	-0.4	0
chr1:16685	10	1	10	10	1	1	1	-0.4	0
chr1:20997	10	1	10	10	1	1	1	-0.4	0
chr1:20997	10	1	10	10	1	1	1	-0.4	0
chr1:118425	10	1	10	10	1	1	1	-0.4	0
chr1:120740	10	1	10	10	1	1	1	-0.4	0
chr1:120740	10	1	10	10	1	1	1	-0.4	0
chr1:121908	10	1	10	10	1	1	1	-0.4	0
chr1:122424	10	1	10	10	1	1	1	-0.4	0
chr1:146256	10	1	10	10	1	1	1	-0.4	0
chr1:149819	10	1	10	10	1	1	1	-0.4	0
chr1:156717	10	1	10	10	1	1	1	-0.4	0
chr1:180514	10	1	10	10	1	1	1	-0.4	0
chr1:224816	10	1	10	10	1	1	1	-0.4	0
chr1:271004	10	1	10	10	1	1	1	-0.4	0
chr1:410774	10	1	10	10	1	1	1	-0.4	0
chr1:410774	10	1	10	10	1	1	1	-0.4	0
chr1:437046	10	1	10	10	1	1	1	-0.4	0
chr1:437046	10	1	10	10	1	1	1	-0.4	0
chr1:465492	10	1	10	10	1	1	1	-0.4	0
chr1:485280	10	1	10	10	1	1	1	-0.4	0
chr1:485725	10	1	10	10	1	1	1	-0.4	0
chr1:485725	10	1	10	10	1	1	1	-0.4	0
chr1:488876	10	1	10	10	1	1	1	-0.4	0
chr1:564663	10	1	10	10	1	1	1	-0.4	0
chr1:565596	10	1	10	10	1	1	1	-0.4	0
chr1:566812	10	1	10	10	1	1	1	-0.4	0
chr1:753096	10	1	10	10	1	1	1	-0.4	0
chr1:754107	10	1	10	10	1	1	1	-0.4	0
chr1:817552	10	1	10	10	1	1	1	-0.4	0
chr1:853697	10	1	10	10	1	1	1	-0.4	0
chr1:933596	10	1	10	10	1	1	1	-0.4	0
chr1:933596	10	1	10	10	1	1	1	-0.4	0
chr1:1028434	10	1	10	10	1	1	1	-0.4	0
chr1:1051023	10	1	10	10	1	1	1	-0.4	0
chr1:1096809	10	1	10	10	1	1	1	-0.4	0
chr1:1291376	10	1	10	10	1	1	1	-0.4	0
chr1:1398915	10	1	10	10	1	1	1	-0.4	0
chr1:1477824	10	1	10	10	1	1	1	-0.4	0
chr1:1477824	10	1	10	10	1	1	1	-0.4	0
chr1:1569647	10	1	10	10	1	1	1	-0.4	0
chr1:1749767	10	1	10	10	1	1	1	-0.4	0
chr1:1879508	10	1	10	10	1	1	1	-0.4	0
chr1:1882722	10	1	10	10	1	1	1	-0.4	0
chr1:1882722	10	1	10	10	1	1	1	-0.4	0
chr1:2048157	10	1	10	10	1	1	1	-0.4	0
chr1:2155293	10	1	10	10	1	1	1	-0.4	0
chr1:2172298	10	1	10	10	1	1	1	-0.4	0
chr1:2194600	10	1	10	10	1	1	1	-0.4	0
chr1:2194600	10	1	10	10	1	1	1	-0.4	0
chr1:2197448	10	1	10	10	1	1	1	-0.4	0
chr1:2220632	10	1	10	10	1	1	1	-0.4	0
chr1:2229350	10	1	10	10	1	1	1	-0.4	0
chr1:2229350	10	1	10	10	1	1	1	-0.4	0
chr1:2347488	10	1	10	10	1	1	1	-0.4	0
chr1:2437711	10	1	10	10	1	1	1	-0.4	0
chr1:2438048	10	1	10	10	1	1	1	-0.4	0
chr1:2538122	10	1	10	10	1	1	1	-0.4	0
chr1:2573804	10	1	10	10	1	1	1	-0.4	0
chr1:2640831	10	1	10	10	1	1	1	-0.4	0
chr1:2700969	10	1	10	10	1	1	1	-0.4	0
chr1:2753404	10	1	10	10	1	1	1	-0.4	0
chr1:2928856	10	1	10	10	1	1	1	-0.4	0
chr1:2972487	10	1	10	10	1	1	1	-0.4	0
chr1:3031709	10	1	10	10	1	1	1	-0.4	0
chr1:3095171	10	1	10	10	1	1	1	-0.4	0
chr1:3100411	10	1	10	10	1	1	1	-0.4	0
chr1:3100411	10	1	10	10	1	1	1	-0.4	0
chr1:3100915	10	1	10	10	1	1	1	-0.4	0
chr1:3248049	10	1	10	10	1	1	1	-0.4	0
chr1:3610417	10	1	10	10	1	1	1	-0.4	0
chr1:3664367	10	1	10	10	1	1	1	-0.4	0
chr1:3664571	10	1	10	10	1	1	1	-0.4	0
chr1:3681749	10	1	10	10	1	1	1	-0.4	0
chr1:3774627	10	1	10	10	1	1	1	-0.4	0
chr1:3774627	10	1	10	10	1	1	1	-0.4	0
chr1:3779798	10	1	10	10	1	1	1	-0.4	0
chr1:3914693	10	1	10	10	1	1	1	-0.4	0
chr1:4243253	10	1	10	10	1	1	1	-0.4	0
chr1:4268877	10	1	10	10	1	1	1	-0.4	0
chr1:4440210	10	1	10	10	1	1	1	-0.4	0
chr1:4536257	10	1	10	10	1	1	1	-0.4	0
chr1:4537416	10	1	10	10	1	1	1	-0.4	0
chr1:4537416	10	1	10	10	1	1	1	-0.4	0
chr1:4543153	10	1	10	10	1	1	1	-0.4	0
chr1:4543872	10	1	10	10	1	1	1	-0.4	0
chr1:4713510	10	1	10	10	1	1	1	-0.4	0
chr1:4901279	10	1	10	10	1	1	1	-0.4	0
chr1:5044461	10	1	10	10	1	1	1	-0.4	0
chr1:5059141	10	1	10	10	1	1	1	-0.4	0
chr1:5059141	10	1	10	10	1	1	1	-0.4	0
chr1:5061219	10	1	10	10	1	1	1	-0.4	0
chr1:5070758	10	1	10	10	1	1	1	-0.4	0
chr1:5070758	10	1	10	10	1	1	1	-0.4	0
chr1:5104645	10	1	10	10	1	1	1	-0.4	0
chr1:5137636	10	1	10	10	1	1	1	-0.4	0
chr1:5204412	10	1	10	10	1	1	1	-0.4	0
chr1:5204412	10	1	10	10	1	1	1	-0.4	0
chr1:5298794	10	1	10	10	1	1	1	-0.4	0
chr1:5301370	10	1	10	10	1	1	1	-0.4	0
chr1:5340070	10	1	10	10	1	1	1	-0.4	0
chr1:5402587	10	1	10	10	1	1	1	-0.4	0
chr1:5421117	10	1	10	10	1	1	1	-0.4	0
chr1:5446522	10	1	10	10	1	1	1	-0.4	0
chr1:5446856	10	1	10	10	1	1	1	-0.4	0
chr1:5447637	10	1	10	10	1	1	1	-0.4	0
chr1:5617926	10	1	10	10	1	1	1	-0.4	0
chr1:5727645	10	1	10	10	1	1	1	-0.4	0
chr1:5758597	10	1	10	10	1	1	1	-0.4	0
chr1:5890824	10	1	10	10	1	1	1	-0.4	0
chr1:6074427	10	1	10	10	1	1	1	-0.4	0
chr1:6088191	10	1	10	10	1	1	1	-0.4	0
chr1:6224408	10	1	10	10	1	1	1	-0.4	0
chr1:6369338	10	1	10	10	1	1	1	-0.4	0
chr1:6443825	10	1	10	10	1	1	1	-0.4	0
chr1:6445313	10	1	10	10	1	1	1	-0.4	0
chr1:6560601	10	1	10	10	1	1	1	-0.4	0
chr1:6602090	10	1	10	10	1	1	1	-0.4	0
chr1:6697947	10	1	10	10	1	1	1	-0.4	0
chr1:6711960	10	1	10	10	1	1	1	-0.4	0
chr1:6805132	10	1	10	10	1	1	1	-0.4	0
chr1:6832216	10	1	10	10	1	1	1	-0.4	0
chr1:6832216	10	1	10	10	1	1	1	-0.4	0
chr1:6845155	10	1	10	10	1	1	1	-0.4	0
chr1:6927706	10	1	10	10	1	1	1	-0.4	0
chr1:6969032	10	1	10	10	1	1	1	-0.4	0
chr1:6970897	10	1	10	10	1	1	1	-0.4	0
chr1:7039048	10	1	10	10	1	1	1	-0.4	0
chr1:7042049	10	1	10	10	1	1	1	-0.4	0
chr1:7042891	10	1	10	10	1	1	1	-0.4	0
chr1:7176397	10	1	10	10	1	1	1	-0.4	0
